name,address,phone
国图影院,海淀区中关村南大街33号国家图书馆内,010-88544777
中影华宇国际影城,海淀区华宇时尚购物中心B1层,010-82126500
深影国际影城（学院南路店CGS中国巨幕店）,海淀区学院南路50号哇沃生活广场3层,010-53979668
完美世界影城（西直门凯德mall店）,西城区展览路街道西直门外大街1号西区商业凯德mall商城5层41号,010-58302550
米瑞酷激光影城,海淀区甘家口大厦5层南侧,010-21727252
无界沉浸影院,西城区车公庄大街4号新华1949文化金融创新产业园5幢/7幢 位于A33剧场斜对面,010-98745612
海淀剧院,海淀区中关村大街28号,010-82533588
北京青年宫电影城,西城区西直门南小街68号北京市青年宫主楼地下一层,010-66136392
金逸影城（中关村店）,海淀区中关村大街19号新中关购物中心B1层,010-82486800
北京英嘉国际影城（金源CINITY店）,海淀区曙光街道远大路1号金源时代购物中心5层E段5501室,010-88859095
中国电影资料馆艺术影院,海淀区小西天文慧园路3号,010-62254422
中影国际影城（小西天CINITY店）,海淀区北太平庄街道新街口外大街25号(小西天牌楼北侧),010-61196505
晟嘉国际影城(北京新华百货店),西城区新街口北大街1号1号楼5层5A102,010-62210770
海淀工人文化宫,海淀区万柳华府北街2号,010-82568302
太平洋影城（北京中关村店）,海淀区中关村南三街融科资讯中心B座负一层,010-62508171
