title,director,actors,genre,duration,rating,description,releaseDate,status,image_url
时间之子,于奥 周铁男,王俊凯 刘校妤 周深 黄渤 贾冰 马东 金靖 周铁男 闫佩伦 张小婉 刘旸 罗圣灯 宣晓鸣 曹雪 彭龙海 良生 何梓骞,动画 奇幻 爱情,107,9.6,原创国产动画电影诚意之作！王俊凯、刘校妤、周深等全明星配音阵容助力！六一假期，和ta看一场不散场的电影！ 冷面杀手十七与渔村少女千晓因神秘时轮结缘，一个想“离职”找自由，一个想“离岛”寻精彩，他们决定暂时合作成为“一日时轮搭子”，在繁华的大都会开启了一场有惊有喜的浪漫奇遇。在这个过程中，十七和千晓的关系悄悄发生着变化，从最初的冤家对头逐渐变成了默契搭档，两颗心在不经意间靠近的同时，殊不知时轮背后的秘密，也在悄然影响着两人的命运……,2025/5/30,showing,https://i.imgur.com/NCHcLay.jpeg
碟中谍8：最终清算,克里斯托弗·麦奎里,汤姆·克鲁斯 海莉·阿特维尔 文·瑞姆斯 西蒙·佩吉 伊沙·摩路斯 庞·克莱门捷夫 亨利·科泽尼 霍特·麦克卡兰尼 珍妮·麦克蒂尔 尼克·奥弗曼 汉娜·沃丁厄姆 特拉梅尔·提尔曼 安吉拉·贝塞特 谢伊·惠格姆 格雷格·泰山·戴维斯 查尔斯·帕内尔 马克·加蒂斯 罗尔夫·萨克森 露西·图卢加鲁克 凯蒂·M·奥布莱恩 艾琳·巴特尔 托米·厄尔·詹金斯 迪娜·特鲁迪 罗伯·德兰尼 加利·艾尔维斯,动作 惊悚 冒险,170,9.4,“我需要你相信我，最后一次……”超级人工智能“智体”即将引爆全球核弹危机，把世界推向毁灭边缘。而伊森·亨特（汤姆·克鲁斯 饰）和他的IMF小队在上次行动中遭遇重创，团队濒临分崩离析。虽然伊森已获得关闭“智体”的钥匙，但要彻底消灭“智体”，完成这一拯救全人类的终极任务，仍需要IMF小队齐心协力突破重重困难。他们不仅要面对全知全能又无影无形的“智体”与其手下盖布瑞尔（埃塞·莫拉雷斯 饰）的百般阻拦，还要解决来自过去的种种恩怨。每个抉择都关乎信念与命运，等待伊森和IMF小队的，究竟是怎样的结局？,2025/5/30,showing,https://i.imgur.com/BS1KMGZ.jpeg
私家侦探,李子俊 周汶儒,古天乐 周秀娜 刘冠廷 黄浩然 杨偲泳 张兆辉 黄诗棋 培永 蔡祥宇 关德辉,犯罪 悬疑 剧情,102,,大尺度！连环情杀高能不断！超禁忌！出轨捉奸吃瓜必看！ 从影三十年赤诚不变，古天乐携颠覆力作震撼归来！《九龙城寨之围城》后，再度联手金牌监制郑保瑞，打造犯罪题材巅峰新作！ 【警告！本片含高能限制级犯罪场景还原，画面含血量超标，请谨慎观看！】 欧阳伟业（古天乐 饰），一个平平无奇的私家侦探，却在一次跟踪行动中，意外被卷入一起骇人血案——妙龄女子惨遭虐杀，狰狞血痕遍布颈间！然而，这仅仅是一个开始，离奇的雨夜车祸、无辜女性被逼殉情、准新娘婚前惨遭毒手……当潘多拉魔盒在血色中开启，一场以情债为名的猎杀游戏正式开启。 血色倒计时即将归零，你，是否敢窥探银幕上的这场桃色献祭？躺在病床上的神秘女人，封闭豪宅里的殉情仪式，这场交织着情欲与复仇的罪恶之网，到底还隐藏着哪些不为人知的终极秘密？大尺度桃色罪案即将掀开血腥的一角……,2025/5/31,showing,https://i.imgur.com/YYqgttP.jpeg
水饺皇后,刘伟强,马丽 惠英红 朱亚文 王祖蓝 薛凯琪 谢天华 潘斌龙 袁富华 江美仪 太保 张达明 姜大卫 鲍起静 方平 谷德昭 黄德斌 余安安 秦煌 卢惠光 龚慈恩 车婉婉 张达伦 易天雄 陈奂仁 宝佩如 林珊珊 林晓峰 吴志雄 王敏奕 冯文娟 雅玫 黄璐 杨青 黄楚桐 赵润南 王佳怡 林恺铃 铂莱 梁珀瑜,剧情,119,9.5,根据真人真事改编。马丽领衔演绎真实女性成长史，逆风翻盘，闯出自己的沸腾人生！他们都不看好你，偏偏你最争气！ 开局“地狱”？臧健和（马丽 饰）带着两个女儿在异乡漂泊无依。既然一无所有，不如靠自己拼搏出另一番天地，大女主人生马上开启！ 困难重重？虽然被老板欺骗、被病痛折磨、被生活压榨，但永不服输的志气早晚会让所有不看好臧健和的人大声鼓掌！还有红姐（惠英红 饰）、华哥（朱亚文 饰）、糖水伯（袁富华 饰）等善良邻里，做她最坚实的后盾！ 白手起家？靠自己双手改写命运走向，凭借一碗水饺登上人生巅峰！水饺皇后的故事就此拉开帷幕……,2025/4/30,showing,https://i.imgur.com/TrQDVg8.jpeg
哆啦A梦：大雄的绘画奇遇记,寺本幸代,水田山葵 大原惠美 嘉数由美 木村昴 关智一 和多田美咲 种崎敦美 久野美咲 三石琴乃 伊达干生 铃鹿央士 富泽岳史 藤本美贵,动画 冒险 奇幻,105,,哆啦A梦电影45周年纪念之作！新闻中一幅价值数十亿日元的名画引发轰动，而画作残片竟意外坠入到大雄手中！哆啦A梦一行人进入画中的世界并邂逅了神秘少女可蕾雅。在她的请求下，众人前往新闻中的中世纪欧洲“雅托利亚公国”。传说中这里存在一种蕴含神秘力量的宝石“雅托利亚蓝”，为了揭开宝石之谜，哆啦A梦一行人展开了冒险，流传中“世界毁灭”的传说开始复苏，他们陷入了巨大的危机......,2025/5/31,showing,https://i.imgur.com/gQcypAP.jpeg
星际宝贝史迪奇,迪恩·弗雷彻-坎普,玛雅·凯洛哈 克里斯·桑德斯 西德尼·阿古顿 比利·马格努森 蒂亚·卡雷尔 汉娜·沃丁厄姆 考特尼·万斯 艾米·希尔 Kaipo Dudoit 费斯·费伊 杰森·斯考特·李 亚历克斯·登尼 斯凯勒·拜布尔 唐·纳哈库 索非亚·珑 斯艾娜·阿古顿,冒险 家庭,108,9,讲述孤儿莉萝在夏威夷考艾岛上和一只叫 史迪奇的蓝色外星动物相处并成为形影不离的好伙伴的故事 。,2025/5/23,showing,https://i.imgur.com/mD7LN2u.jpeg
新·驯龙高手,迪恩·德布洛斯,梅森·泰晤士 杰拉德·巴特勒 妮可·帕克 尼克·弗罗斯特 朱利安·迪尼森 布朗温·詹姆斯 杰克·迪伦·格雷泽 Gabriel Howell Ruth Codd 尼克·康沃尔,剧情 喜剧 奇幻,126,,在嶙峋险峻的博克岛上，维京人和龙族世代为敌、势不两立，而小嗝嗝却是一个与众不同的存在。作为大块头斯图依克之子，小嗝嗝是一个富有创意但常被忽视的少年。,2025/6/13,showing,https://i.imgur.com/nKWlJRB.jpeg
小小的我,杨荔钠,易烊千玺 林晓杰 蒋勤勤 周雨彤 李庚酉 张加丽 廖学秋 岳小军,青春 家庭 剧情,131,9.2,患有脑瘫的刘春和（易烊千玺 饰）勇敢冲破身心的枷锁，为外婆（林晓杰 饰）圆梦舞台的同时，也弥合了与妈妈（蒋勤勤 饰）的关系，并努力寻求着自己人生的坐标。在经历一个盛夏的蜕变后，他终于踏上了新的旅程。,2024/12/27,showing,https://i.imgur.com/OpVpAIa.jpeg
名侦探柯南：迷宫的十字路口,儿玉兼嗣,高山南 山崎和佳奈 山口胜平 岩居由希子 松井菜樱子 绪方贤一 高木涉 井上和彦 林原惠美 堀川亮 Mari Adachi 茶风林 井原啓介 龟井三郎 神谷明 宫村优子 中村大树 置鲇龙太郎 大谷育江 Hiroko Suzuki 铃置洋孝 游佐浩二 汤屋敦子 若本规夫 水内清光 三户 耕三 里内信夫 铃木弘子 佐久间玲 一龙斋贞友 松本幸 千叶一伸 菅原淳一 黛博拉·玛格娜吉,动画 冒险 悬疑,107,9.1,东京、大阪、京都发生了5名男子相继被杀的事件。5人是盯上古美术品的盗窃团“源氏萤”的成员，相互以义经和他的随从的名字称呼。剩下的是义经、弁庆、伊势三郎三人。柯南和被委托解决其他佛像盗窃案的毛利小五郎一起来到京都，遇到了追踪源氏萤事件的服部平次，并开始了行动。但是，服部平次被弓狙击了。为了寻找犯人，两个名侦探在京都的小镇上疾驰。原案协助：奥山丰彦、都筑伸一郎、三上顺一、鸟光裕出品：《名侦探柯南》制作委员会（ 株式会社小学馆、 读卖电视放送株式会社、日本电视放送网株式会社、株式会社小学馆制作、 东宝株式会社、 TMS Entertainment）,2024/12/27,showing,https://i.imgur.com/dk6yLvs.jpeg
好东西,邵艺辉,宋佳 钟楚曦 章宇 赵又廷 任彬 曾慕梅 张弛 周野芒 王菊 孔连顺 蒋易 安栋 杨英格 冯玛娅 卫莱 周庆昀 关雅荻 邵骏泽 陈若闻 格桑卓玛 哈姆扎·阿萨尔 徐祥 彭心宜 虞汇源,剧情 爱情 喜剧 家庭,123,9.2,爱逞强的单亲妈妈王铁梅（宋佳 饰）带小孩王茉莉（曾慕梅 饰）搬到新家，结识了所谓清醒恋爱脑的邻居小叶（钟楚曦 饰）。两位性格迥异的女性，一个坚强，一个柔软，一个擅长给人当妈，一个擅长随时撒谎。面对旧创伤和新挑战，她们彼此温暖互相慰藉。 而围绕王铁梅的两个男人，前夫（赵又廷 饰）不时“添乱”，女儿的鼓手老师（章宇 饰）似乎充满新的可能。作为已经觉醒的女人们和学习过性别议题的男人们，会遇到什么新问题？会如何看待自己和世界？,2024/11/22,showing,https://i.imgur.com/Aayqek4.jpeg
